slug,keyword,branch,parent,order
deco-chambre-harry-potter,deco chambre harry potter,chambre,chambre,2
deco-terracotta-chambre,deco terracotta chambre,chambre,chambre,3
baignoire-japonaise,baignoire japonaise,salle-de-bain,salle-de-bain,2
carrelage-douche-italienne,carrelage douche italienne,salle-de-bain,salle-de-bain,3
crepir-un-mur-interieur,crepir un mur interieur,decoration,decoration,5
cuisine-olive,cuisine olive,cuisine,cuisine,1
decoration-marocaine-moderne-ou-classique,decoration marocaine moderne ou classique,decoration,decoration,6
parquet-tache,parquet tache,decoration,decoration,7
la-peperomia-hope,peperomia hope entretien,decoration,decoration,8
comment-isoler-une-montee-descalier,comment isoler une montee d escalier,decoration,decoration,9
