slug,keyword,branch,parent,order
comment-entretenir-un-bain-nordique,comment entretenir un bain nordique,salle-de-bain,salle-de-bain,1
choisir-cadre-tableau-mural-vegetal,choisir cadre tableau mural vegetal,decoration,decoration,2
jardins-et-cours-mexicains-images-et-idees-pour-linspiration,jardins et cours mexicains images et idees pour linspiration,exterieur,exterieur,3
decoration-doree-sur-les-murs-les-meubles-ou-les-accessoires,decoration doree sur les murs les meubles ou les accessoires,decoration,decoration,4
entretenir-du-scindapsus-pictus-la-plante-robuste-qui-a-tout-pour-plaire,entretenir du scindapsus pictus la plante robuste qui a tout pour plaire,decoration,decoration,5
couleurs-dinterieur-de-mur-et-de-peinture-a-la-mode-2026,couleurs dinterieur de mur et de peinture a la mode 2026,couleurs,couleurs,6
decorations-de-larbre-de-noel-pour-2026,decorations de larbre de noel pour 2026,decoration,decoration,7
comment-moderniser-votre-appartement-dans-le-plus-pur-style-parisien,comment moderniser votre appartement dans le plus pur style parisien,decoration,decoration,8
decorer-avec-terracota,decorer avec terracota,decoration,decoration,9
diy-jardiniere,diy jardiniere,exterieur,exterieur,10
