slug,keyword,branch,parent,order
installer-eclairage-exterieur-sans-fil,installer eclairage exterieur sans fil,exterieur,exterieur,1
comment-profiter-de-votre-exterieur-meme-lors-des-fortes-chaleurs-dete,comment profiter de votre exterieur meme lors des fortes chaleurs dete,exterieur,exterieur,2
chambre-sans-fenetre,chambre sans fenetre,chambre,chambre,3
changer-portes-cuisines-ikea-faktum,changer portes cuisines ikea faktum,cuisine,cuisine,4
ikea-frappe-fort-avec-son-nouveau-canape-2-places-parfait-pour-les-petits-salons,ikea frappe fort avec son nouveau canape 2 places parfait pour les petits salons,decoration,decoration,5
cohue-chez-ikea-avec-ce-plateau-multifonction-de-la-saison,cohue chez ikea avec ce plateau multifonction de la saison,shopping,shopping,6
cohue-chez-ikea-avec-cette-lampe-articulee-super-design-a-moins-de-5-euros,cohue chez ikea avec cette lampe articulee super design a moins de 5 euros,shopping,shopping,7
couleur-taupe,couleur taupe,couleurs,couleurs,8
ikea-cartonne-avec-son-armoire-dangle,ikea cartonne avec son armoire dangle,shopping,shopping,9
le-guide-ultime-des-parasols-de-terrasse-pour-cafes-hotels-et-restaurants,le guide ultime des parasols de terrasse pour cafes hotels et restaurants,exterieur,exterieur,10
