slug,keyword,branch,parent,order
cuisines-avec-ilot-2026-designs-et-tendances,cuisines avec ilot 2026 designs et tendances,cuisine,cuisine,1
decoration-vintage-50-images-et-idees-pour-linspiration,decoration vintage 50 images et idees pour linspiration,decoration,decoration,2
salle-de-jeux-pour-enfants,salle de jeux pour enfants,decoration,decoration,3
tiny-house-container,tiny house container,decoration,decoration,4
papier-peint-dexterieur,papier peint dexterieur,exterieur,exterieur,5
artisanat-avec-des-materiaux-recycles-pour-la-maison,artisanat avec des materiaux recycles pour la maison,decoration,decoration,6
couleurs-de-cuisine-2026,couleurs de cuisine 2026,cuisine,cuisine,7
conseils-pour-leclairage-dune-cave-a-vin,conseils pour leclairage dune cave a vin,decoration,decoration,8
remplacer-roulette-veranda,remplacer roulette veranda,decoration,decoration,9
rotin-osier,rotin osier,decoration,decoration,10
