slug,keyword,branch,parent,order
organisation-armoire-cuisine,organisation armoire cuisine,cuisine,cuisine,1
le-feng-shui-dans-la-chambre-a-coucher,le feng shui dans la chambre a coucher,chambre,chambre,2
decorer-la-chambre-a-coucher-avec-peu-dargent,decorer la chambre a coucher avec peu dargent,chambre,chambre,3
cuisines-modernes-2026-designs-modeles,cuisines modernes 2026 designs modeles,cuisine,cuisine,4
salles-de-bains-rustiques-decoration-et-design-modernes,salles de bains rustiques decoration et design modernes,salle-de-bain,salle-de-bain,5
salons-modernes-tendances-2026,salons modernes tendances 2026,decoration,decoration,6
choisir-tapis-fibre-naturelle,choisir tapis fibre naturelle,decoration,decoration,7
chaise-salon,chaise salon,decoration,decoration,8
decirer-un-meuble-en-bois-les-astuces-pratiques,decirer un meuble en bois les astuces pratiques,decoration,decoration,9
comment-combiner-le-style-industriel-et-scandinave,comment combiner le style industriel et scandinave,decoration,decoration,10
