slug,keyword,branch,parent,order
guide-pour-une-deco-pop-dans-la-chambre-a-coucher,guide pour une deco pop dans la chambre a coucher,chambre,chambre,1
carrelage-metro-salle-de-bain,carrelage metro salle de bain,salle-de-bain,salle-de-bain,2
choisir-tableau-velleda,choisir tableau velleda,decoration,decoration,3
creez-votre-table-basse-au-design-original-avec-ces-astuces-diy,creez votre table basse au design original avec ces astuces diy,decoration,decoration,4
50-idees-de-decoration-art-deco,50 idees de decoration art deco,decoration,decoration,5
choisir-tapis-imprime,choisir tapis imprime,decoration,decoration,6
couleurs-tendance-pour-les-salles-de-bains-modernes-2026,couleurs tendance pour les salles de bains modernes 2026,salle-de-bain,salle-de-bain,7
deco-et-equipement-b2b,deco et equipement b2b,decoration,decoration,8
installation-et-usage-dune-tuile-chatiere,installation et usage dune tuile chatiere,decoration,decoration,9
difference-pergola-tonnelle,difference pergola tonnelle,exterieur,exterieur,10
