slug,keyword,branch,parent,order
baignoire-japonaise,baignoire japonaise,salle-de-bain,salle-de-bain,1
parquet-tache,parquet tache,decoration,decoration,2
comment-isoler-une-montee-descalier,comment isoler une montee descalier,decoration,decoration,3
escaliers-silencieux,escaliers silencieux,decoration,decoration,4
crepir-un-mur-interieur,crepir un mur interieur,decoration,decoration,5
deco-chambre-harry-potter,deco chambre harry potter,chambre,chambre,6
deco-terracotta-chambre,deco terracotta chambre,chambre,chambre,7
la-cuisine-verte-et-bois-une-teinte-elegante-et-moderne,la cuisine verte et bois une teinte elegante et moderne,cuisine,cuisine,8
comment-nettoyer-une-table-en-ceramique,comment nettoyer une table en ceramique,decoration,decoration,9
comment-peindre-des-bocaux-ou-des-bouteilles-en-verre,comment peindre des bocaux ou des bouteilles en verre,decoration,decoration,10
