slug,keyword,branch,parent,order
le-mobilier-metallique-une-tendance-deco-sure,le mobilier metallique une tendance deco sure,decoration,decoration,1
choisir-tableau-planning-pense-bete,choisir tableau planning pense bete,decoration,decoration,2
les-portes-coulissantes-disponible-chez-leroy-merlin,les portes coulissantes disponible chez leroy merlin,decoration,decoration,3
pots-de-fleurs-decoratifs-70-photos-et-idees,pots de fleurs decoratifs 70 photos et idees,decoration,decoration,4
piece-trop-chaude,piece trop chaude,decoration,decoration,5
decoration-maritime-50-photos-et-idees-modernes,decoration maritime 50 photos et idees modernes,decoration,decoration,6
salons-bruns-idees-et-images,salons bruns idees et images,decoration,decoration,7
le-charme-de-la-cuisine-rustique-un-look-retro-chic-incontournable,le charme de la cuisine rustique un look retro chic incontournable,cuisine,cuisine,8
peinture-pour-carrelage-douche,peinture pour carrelage douche,salle-de-bain,salle-de-bain,9
choisir-tableau-mural,choisir tableau mural,decoration,decoration,10
