slug,keyword,branch,parent,order
petites-cuisines-modernes-2026-designs-et-modeles,petites cuisines modernes 2026 designs et modeles,cuisine,cuisine,1
idees-de-rangement-et-de-placards-pour-la-salle-de-bains,idees de rangement et de placards pour la salle de bains,salle-de-bain,salle-de-bain,2
recuperation-eau-piscine,recuperation eau piscine,exterieur,exterieur,3
peindre-sans-poncer,peindre sans poncer,decoration,decoration,4
plantes-salle-de-bains,plantes salle de bains,salle-de-bain,salle-de-bain,5
douche-italienne,douche italienne,salle-de-bain,salle-de-bain,6
renovez-votre-terrasse-pour-la-securite,renovez votre terrasse pour la securite,exterieur,exterieur,7
bien-accrocher-tableau-mural,bien accrocher tableau mural,decoration,decoration,8
peinture-pour-carrelage-cuisine,peinture pour carrelage cuisine,cuisine,cuisine,9
des-couleurs-pour-donner-de-la-profondeur-a-un-mur-ou-a-une-piece,des couleurs pour donner de la profondeur a un mur ou a une piece,couleurs,couleurs,10
