slug,keyword,branch,parent,order
cuisine,cuisine,cuisine,cuisine,1
ikea-cartonne-avec-ce-rangement-bureau-decouverte-du-must-have-de-la-saison,ikea cartonne avec ce rangement bureau decouverte du must have de la saison,rangement,rangement,2
ikea-lance-son-nouveau-support-pour-casque-design-a-un-prix-totalement-fou,ikea lance son nouveau support pour casque design a un prix totalement fou,shopping,shopping,3
decorer-chambre-coucher-location,decorer chambre coucher location,chambre,chambre,4
cohue-chez-ikea-avec-letagere-murale-prisee-a-prix-imbattable,cohue chez ikea avec letagere murale prisee a prix imbattable,shopping,shopping,5
ikea-frappe-fort-sa-nouvelle-table-de-nuit-a-9-e-en-edition-limitee,ikea frappe fort sa nouvelle table de nuit a 9 e en edition limitee,shopping,shopping,6
utilisation-de-lhuile-de-lin-sur-les-carreaux,utilisation de lhuile de lin sur les carreaux,decoration,decoration,7
brise-vue,brise vue,decoration,decoration,8
ikea-frappe-fort-avec-le-produit-indispensable-pour-le-bricolage-a-moins-de-13-euros,ikea frappe fort avec le produit indispensable pour le bricolage a moins de 13 euros,shopping,shopping,9
choisir-tableau-enfant,choisir tableau enfant,decoration,decoration,10
